"Phase [deg]","Freq [GHz]","Mx_real []"
0,8,4.64749496275905e-05
0,8.05714285714286,4.5059216964018e-05
0,8.11428571428571,4.36202541337042e-05
0,8.17142857142857,4.2158991899047e-05
0,8.22857142857143,4.0676329973092e-05
0,8.28571428571429,3.91731341106662e-05
0,8.34285714285714,3.76502314128891e-05
0,8.4,3.61084066741089e-05
0,8.45714285714286,3.45483952406191e-05
0,8.51428571428571,3.29708749037328e-05
0,8.57142857142857,3.13764563568783e-05
0,8.62857142857143,2.97656693486582e-05
0,8.68571428571429,2.81389451800376e-05
0,8.74285714285714,2.64965945656801e-05
0,8.8,2.48387785533334e-05
0,8.85714285714286,2.31654669312115e-05
0,8.91428571428571,2.14763859603467e-05
0,8.97142857142857,1.97709427444389e-05
0,9.02857142857143,1.8048122139068e-05
0,9.08571428571429,1.63063382733894e-05
0,9.14285714285714,1.45432209319349e-05
0,9.2,1.27552941235786e-05
0,9.25714285714286,1.09374876883207e-05
0,9.31428571428571,9.08237381323322e-06
0,9.37142857142857,7.17891996666079e-06
0,9.42857142857143,5.21040254195097e-06
0,9.48571428571429,3.15076771421231e-06
0,9.54285714285714,9.58029578585799e-07
0,9.6,-1.43802516545722e-06
0,9.65714285714286,-4.15840993993348e-06
0,9.71428571428571,-7.40781663774775e-06
0,9.77142857142857,-1.14361586604363e-05
0,9.82857142857143,-1.56600616118734e-05
0,9.88571428571428,-1.49622695041656e-05
0,9.94285714285714,-8.330284051627e-06
0,10,-5.88079499310556e-06
0,10.0571428571429,-6.60542090327704e-06
0,10.1142857142857,-8.2265174231587e-06
0,10.1714285714286,-1.00392399630201e-05
0,10.2285714285714,-1.1859684354925e-05
0,10.2857142857143,-1.36419130325696e-05
0,10.3428571428571,-1.53774085944981e-05
0,10.4,-1.7067744668131e-05
0,10.4571428571429,-1.87167182650519e-05
0,10.5142857142857,-2.03280716267214e-05
0,10.5714285714286,-2.19049130235059e-05
0,10.6285714285714,-2.34496536922934e-05
0,10.6857142857143,-2.4964094934765e-05
0,10.7428571428571,-2.6449538714527e-05
0,10.8,-2.79068872409096e-05
0,10.8571428571429,-2.93367239485829e-05
0,10.9142857142857,-3.07393740263907e-05
0,10.9714285714286,-3.21149480524778e-05
0,11.0285714285714,-3.34633714747277e-05
0,11.0857142857143,-3.47843989591997e-05
0,11.1428571428571,-3.60776171669393e-05
0,11.2,-3.73424308053151e-05
0,11.2571428571429,-3.85780293904129e-05
0,11.3142857142857,-3.97833271405223e-05
0,11.3714285714286,-4.09568576791732e-05
0,11.4285714285714,-4.2096599497921e-05
0,11.4857142857143,-4.3199672490693e-05
0,11.5428571428571,-4.42618047966749e-05
0,11.6,-4.52763384398885e-05
0,11.6571428571429,-4.62322663055431e-05
0,11.7142857142857,-4.71100411482658e-05
0,11.7714285714286,-4.78716872018224e-05
0,11.8285714285714,-4.84341812935103e-05
0,11.8857142857143,-4.85834149452179e-05
0,11.9428571428571,-4.76089085200644e-05
0,12,-4.18544252164411e-05
