"Phase [deg]","Freq [GHz]","My_imag []"
0,8,-3.55232372799343e-05
0,8.05714285714286,-3.45777126168922e-05
0,8.11428571428571,-3.35319279921176e-05
0,8.17142857142857,-3.23802541049748e-05
0,8.22857142857143,-3.11161682363533e-05
0,8.28571428571429,-2.97320830233921e-05
0,8.34285714285714,-2.821913654993e-05
0,8.4,-2.6566929627461e-05
0,8.45714285714286,-2.47631975460727e-05
0,8.51428571428571,-2.27933946913777e-05
0,8.57142857142857,-2.06401649371036e-05
0,8.62857142857143,-1.82826597621298e-05
0,8.68571428571429,-1.56956496461227e-05
0,8.74285714285714,-1.284835614559e-05
0,8.8,-9.70289217029891e-06
0,8.85714285714286,-6.21215608312653e-06
0,8.91428571428571,-2.31694065933394e-06
0,8.97142857142857,2.05809910465685e-06
0,9.02857142857143,7.01017417165298e-06
0,9.08571428571429,1.26666666341318e-05
0,9.14285714285714,1.9197446016844e-05
0,9.2,2.68336022865019e-05
0,9.25714285714286,3.58967665999796e-05
0,9.31428571428571,4.68465136323196e-05
0,9.37142857142857,6.03598631322916e-05
0,9.42857142857143,7.74703327272769e-05
0,9.48571428571429,9.982298059047e-05
0,9.54285714285714,0.000130167707766199
0,9.6,0.000173368382965363
0,9.65714285714286,0.000238568296095762
0,9.71428571428571,0.000343798792813281
0,9.77142857142857,0.000522693214286891
0,9.82857142857143,0.000795309208107961
0,9.88571428571428,0.000887524559260361
0,9.94285714285714,0.000461280955452818
0,10,0.000123997625876978
0,10.0571428571429,-9.65536310299293e-06
0,10.1142857142857,-5.85490293969791e-05
0,10.1714285714286,-7.61919460647859e-05
0,10.2285714285714,-8.15492609668091e-05
0,10.2857142857143,-8.17328938461521e-05
0,10.3428571428571,-7.96504739589216e-05
0,10.4,-7.65808871367237e-05
0,10.4571428571429,-7.31172126025156e-05
0,10.5142857142857,-6.95432839891841e-05
0,10.5714285714286,-6.59958505210144e-05
0,10.6285714285714,-6.25389112954447e-05
0,10.6857142857143,-5.91995568617791e-05
0,10.7428571428571,-5.59859512908231e-05
0,10.8,-5.28966334654583e-05
0,10.8571428571429,-4.99254238655116e-05
0,10.9142857142857,-4.70640371264236e-05
0,10.9714285714286,-4.43034650747606e-05
0,11.0285714285714,-4.16346847780046e-05
0,11.0857142857143,-3.90489874802195e-05
0,11.1428571428571,-3.65380918537605e-05
0,11.2,-3.40941247459085e-05
0,11.2571428571429,-3.170950989197e-05
0,11.3142857142857,-2.93767850461034e-05
0,11.3714285714286,-2.7088330326621e-05
0,11.4285714285714,-2.48359801269612e-05
0,11.4857142857143,-2.26104451874083e-05
0,11.5428571428571,-2.04004068803773e-05
0,11.6,-1.81910152168129e-05
0,11.6571428571429,-1.59612262691488e-05
0,11.7142857142857,-1.36787336533875e-05
0,11.7714285714286,-1.128945154998e-05
0,11.8285714285714,-8.69322835244447e-06
0,11.8857142857143,-5.67934092471833e-06
0,11.9428571428571,-1.71942409619045e-06
0,12,4.86487801394948e-06
