"Phase [deg]","Freq [GHz]","My_real []"
0,8,-5.30969278902805e-05
0,8.05714285714286,-5.58130946291916e-05
0,8.11428571428571,-5.86038590765444e-05
0,8.17142857142857,-6.14758378025307e-05
0,8.22857142857143,-6.4436688741293e-05
0,8.28571428571429,-6.74952819527909e-05
0,8.34285714285714,-7.0661905186974e-05
0,8.4,-7.39485153713304e-05
0,8.45714285714286,-7.73690426153674e-05
0,8.51428571428571,-8.09397698038007e-05
0,8.57142857142857,-8.46797962646006e-05
0,8.62857142857143,-8.86116217300692e-05
0,8.68571428571429,-9.27618781584052e-05
0,8.74285714285714,-9.7162256416034e-05
0,8.8,-0.000101850694073784
0,8.85714285714286,-0.000106872904505058
0,8.91428571428571,-0.000112284368110916
0,8.97142857142857,-0.000118152954136617
0,9.02857142857143,-0.000124562395679795
0,9.08571428571429,-0.000131616947461784
0,9.14285714285714,-0.000139447680337258
0,9.2,-0.000148221029754599
0,9.25714285714286,-0.000158150402475171
0,9.31428571428571,-0.0001695117668236
0,9.37142857142857,-0.000182663746789797
0,9.42857142857143,-0.000198070588882538
0,9.48571428571429,-0.000216317807881322
0,9.54285714285714,-0.00023807926056597
0,9.6,-0.000263879651754769
0,9.65714285714286,-0.000293046179951238
0,9.71428571428571,-0.000319330857915979
0,9.77142857142857,-0.000312314035705513
0,9.82857142857143,-0.000150265663278577
0,9.88571428571428,0.000353690914960564
0,9.94285714285714,0.000680350725995708
0,10,0.000588233695416706
0,10.0571428571429,0.000444586412053571
0,10.1142857142857,0.000338676747739638
0,10.1714285714286,0.000265290555822633
0,10.2285714285714,0.000213184962061355
0,10.2857142857143,0.000174819875751335
0,10.3428571428571,0.000145598855644954
0,10.4,0.000122690020563095
0,10.4571428571429,0.000104291396252226
0,10.5142857142857,8.92153700789742e-05
0,10.5714285714286,7.66530453216733e-05
0,10.6285714285714,6.60369811619187e-05
0,10.6857142857143,5.6958611262189e-05
0,10.7428571428571,4.91169372452207e-05
0,10.8,4.22856785111369e-05
0,10.8571428571429,3.62916506906503e-05
0,10.9142857142857,3.10001847325216e-05
0,10.9714285714286,2.63050640575967e-05
0,11.0285714285714,2.21214427791584e-05
0,11.0857142857143,1.83807712517714e-05
0,11.1428571428571,1.50270991943297e-05
0,11.2,1.20143471857021e-05
0,11.2571428571429,9.30426773809798e-06
0,11.3142857142857,6.86491080494443e-06
0,11.3714285714286,4.66946906232447e-06
0,11.4285714285714,2.69542015049096e-06
0,11.4857142857143,9.23922258689724e-07
0,11.5428571428571,-6.60537073630263e-07
0,11.6,-2.07018000411897e-06
0,11.6571428571429,-3.31346834064854e-06
0,11.7142857142857,-4.39359916212614e-06
0,11.7714285714286,-5.30446057899694e-06
0,11.8285714285714,-6.01921244581562e-06
0,11.8857142857143,-6.45262071587034e-06
0,11.9428571428571,-6.29928384280814e-06
0,12,-3.93729520920681e-06
