"Phase [deg]","Freq [GHz]","Pz_imag []"
0,8,-2.5276333135808e-05
0,8.05714285714286,-2.4472048270254e-05
0,8.11428571428571,-2.36504853415366e-05
0,8.17142857142857,-2.2811729660448e-05
0,8.22857142857143,-2.19557938353056e-05
0,8.28571428571429,-2.10826066956159e-05
0,8.34285714285714,-2.0191999473445e-05
0,8.4,-1.92836898903975e-05
0,8.45714285714286,-1.83572604285538e-05
0,8.51428571428571,-1.74121342781726e-05
0,8.57142857142857,-1.64475421941457e-05
0,8.62857142857143,-1.54624832965408e-05
0,8.68571428571429,-1.44556743172321e-05
0,8.74285714285714,-1.34254842035515e-05
0,8.8,-1.23698515135739e-05
0,8.85714285714286,-1.12861745428635e-05
0,8.91428571428571,-1.01711675965465e-05
0,8.97142857142857,-9.02067089979363e-06
0,9.02857142857143,-7.8293900990737e-06
0,9.08571428571429,-6.59054457416839e-06
0,9.14285714285714,-5.2953767073746e-06
0,9.2,-3.9324644273308e-06
0,9.25714285714286,-2.48674238940596e-06
0,9.31428571428571,-9.38098916061859e-07
0,9.37142857142857,7.40643667168627e-07
0,9.42857142857143,2.58657816037755e-06
0,9.48571428571429,4.65046653030087e-06
0,9.54285714285714,7.00047902112969e-06
0,9.6,9.72036215957604e-06
0,9.65714285714286,1.28754940068562e-05
0,9.71428571428571,1.6321030695193e-05
0,9.77142857142857,1.87415965337535e-05
0,9.82857142857143,1.35807365124488e-05
0,9.88571428571428,-1.2671615527692e-05
0,9.94285714285714,-3.49059325740127e-05
0,10,-3.28048671815884e-05
0,10.0571428571429,-2.55357686939636e-05
0,10.1142857142857,-1.94159790236165e-05
0,10.1714285714286,-1.47599356526216e-05
0,10.2285714285714,-1.11558780699585e-05
0,10.2857142857143,-8.26443448793294e-06
0,10.3428571428571,-5.86274591669073e-06
0,10.4,-3.80786603991743e-06
0,10.4571428571429,-2.00648230470589e-06
0,10.5142857142857,-3.96017638038032e-07
0,10.5714285714286,1.06666767036018e-06
0,10.6285714285714,2.41208299996573e-06
0,10.6857142857143,3.66230216179159e-06
0,10.7428571428571,4.83361854183433e-06
0,10.8,5.9382683395599e-06
0,10.8571428571429,6.98557658794253e-06
0,10.9142857142857,7.98273775013997e-06
0,10.9714285714286,8.93535525162517e-06
0,11.0285714285714,9.84782201484517e-06
0,11.0857142857143,1.07235904284125e-05
0,11.1428571428571,1.15653632319423e-05
0,11.2,1.23752277222183e-05
0,11.2571428571429,1.31547414328512e-05
0,11.3142857142857,1.39049765032387e-05
0,11.3714285714286,1.46265194072919e-05
0,11.4285714285714,1.53194132481344e-05
0,11.4857142857143,1.59830125641073e-05
0,11.5428571428571,1.66156894929245e-05
0,11.6,1.72142510470111e-05
0,11.6571428571429,1.77727569324823e-05
0,11.7142857142857,1.82799569710532e-05
0,11.7714285714286,1.87131956553716e-05
0,11.8285714285714,1.90218980883113e-05
0,11.8857142857143,1.90738924591658e-05
0,11.9428571428571,1.84261534962121e-05
0,12,1.47764221724797e-05
