"Phase [deg]","Freq [GHz]","Pz_real []"
0,8,-2.03849924417701e-05
0,8.05714285714286,-2.10878144336172e-05
0,8.11428571428571,-2.17620496171793e-05
0,8.17142857142857,-2.24076262253239e-05
0,8.22857142857143,-2.30244202027768e-05
0,8.28571428571429,-2.36122496217108e-05
0,8.34285714285714,-2.41708670807774e-05
0,8.4,-2.46999494378113e-05
0,8.45714285714286,-2.51990845576637e-05
0,8.51428571428571,-2.56677533055074e-05
0,8.57142857142857,-2.61053068445205e-05
0,8.62857142857143,-2.65109359422656e-05
0,8.68571428571429,-2.68836309256029e-05
0,8.74285714285714,-2.7222127710669e-05
0,8.8,-2.75248351574623e-05
0,8.85714285714286,-2.7789735486999e-05
0,8.91428571428571,-2.80142466127135e-05
0,8.97142857142857,-2.81950273693935e-05
0,9.02857142857143,-2.83276981762744e-05
0,9.08571428571429,-2.84064312163763e-05
0,9.14285714285714,-2.8423335928684e-05
0,9.2,-2.83675115851619e-05
0,9.25714285714286,-2.82235454504475e-05
0,9.31428571428571,-2.79690479373714e-05
0,9.37142857142857,-2.75704494581693e-05
0,9.42857142857143,-2.6975513272209e-05
0,9.48571428571429,-2.60992997177326e-05
0,9.54285714285714,-2.47963105664317e-05
0,9.6,-2.28015760194492e-05
0,9.65714285714286,-1.95981557165313e-05
0,9.71428571428571,-1.41108887122404e-05
0,9.77142857142857,-4.12219659617991e-06
0,9.82857142857143,1.28607340812047e-05
0,9.88571428571428,2.36754332768992e-05
0,9.94285714285714,3.61947630221935e-06
0,10,-1.61909485891322e-05
0,10.0571428571429,-2.52174281273565e-05
0,10.1142857142857,-2.9074840263745e-05
0,10.1714285714286,-3.08036340688135e-05
0,10.2285714285714,-3.15876514373658e-05
0,10.2857142857143,-3.1908445117626e-05
0,10.3428571428571,-3.19800414906334e-05
0,10.4,-3.19057654230791e-05
0,10.4571428571429,-3.17390774689772e-05
0,10.5142857142857,-3.15092444984152e-05
0,10.5714285714286,-3.12330333425035e-05
0,10.6285714285714,-3.09203959440325e-05
0,10.6857142857143,-3.05773920820732e-05
0,10.7428571428571,-3.02077598781484e-05
0,10.8,-2.98137927212276e-05
0,10.8571428571429,-2.93968394642402e-05
0,10.9142857142857,-2.89575936166606e-05
0,10.9714285714286,-2.84962556225836e-05
0,11.0285714285714,-2.80126141767548e-05
0,11.0857142857143,-2.75060714994975e-05
0,11.1428571428571,-2.69756220721116e-05
0,11.2,-2.64197861678412e-05
0,11.2571428571429,-2.58364906932176e-05
0,11.3142857142857,-2.52228790236136e-05
0,11.3714285714286,-2.45750174084746e-05
0,11.4285714285714,-2.38874374611277e-05
0,11.4857142857143,-2.31524108143093e-05
0,11.5428571428571,-2.23587588408011e-05
0,11.6,-2.14898151230391e-05
0,11.6571428571429,-2.05197555327753e-05
0,11.7142857142857,-1.94065411965523e-05
0,11.7714285714286,-1.80772108203262e-05
0,11.8285714285714,-1.63938534513053e-05
0,11.8857142857143,-1.40631959106561e-05
0,11.9428571428571,-1.03465615032212e-05
0,12,-2.89715362375194e-06
