"lumped_element_capacitance [pF]","Freq [GHz]","im(S(2,1)-1+S(1,1)) []"
0.065,9.5,0.00449123443078248
0.0722916666666667,9.5,0.00512871927097838
0.0795833333333333,9.5,0.00584952973637576
0.086875,9.5,0.0064279472852064
0.0941666666666667,9.5,0.00708729413372056
0.101458333333333,9.5,0.00755739077191603
0.10875,9.5,0.0077435018618866
0.116041666666667,9.5,0.00742855493636468
0.123333333333333,9.5,0.00646049667116216
0.130625,9.5,0.0044350193509767
0.137916666666667,9.5,0.000928801834776699
0.145208333333333,9.5,-0.00388612239301607
0.1525,9.5,-0.00935690890604685
0.159791666666667,9.5,-0.0140491398984767
0.167083333333333,9.5,-0.0174698236264053
0.174375,9.5,-0.0196170823057484
0.181666666666667,9.5,-0.0204073600899199
0.188958333333333,9.5,-0.019993626569163
0.19625,9.5,-0.0197866799288368
0.203541666666667,9.5,-0.0190137316756291
0.210833333333333,9.5,-0.0180379796555139
0.218125,9.5,-0.0174967875491226
0.225416666666667,9.5,-0.0167477650788464
0.232708333333333,9.5,-0.0162487853246942
0.24,9.5,-0.0156562093645294
