"lumped_element_capacitance [pF]","Freq [GHz]","im(S(2,1)-1-S(1,1)) []"
0.065,9.5,-0.307760123272091
0.0722916666666667,9.5,-0.335366582948972
0.0795833333333333,9.5,-0.366642791362837
0.086875,9.5,-0.398461192716127
0.0941666666666667,9.5,-0.431942338192403
0.101458333333333,9.5,-0.464477472529032
0.10875,9.5,-0.492492622601794
0.116041666666667,9.5,-0.508525218939267
0.123333333333333,9.5,-0.502840702261992
0.130625,9.5,-0.458251830808938
0.137916666666667,9.5,-0.353238544594483
0.145208333333333,9.5,-0.197107848727724
0.1525,9.5,-0.00423880464563447
0.159791666666667,9.5,0.180887457764472
0.167083333333333,9.5,0.336822525990872
0.174375,9.5,0.428946506234167
0.181666666666667,9.5,0.485792416930195
0.188958333333333,9.5,0.511675019957371
0.19625,9.5,0.513402537398735
0.203541666666667,9.5,0.503642909534763
0.210833333333333,9.5,0.485767224855494
0.218125,9.5,0.469574520458487
0.225416666666667,9.5,0.45054942141691
0.232708333333333,9.5,0.43359671953152
0.24,9.5,0.41324307379114
