"lumped_element_capacitance [pF]","Freq [GHz]","re(S(2,1)-1-S(1,1)) []"
0.065,9.5,-0.0820865781571024
0.0722916666666667,9.5,-0.104800224564119
0.0795833333333333,9.5,-0.134513991688393
0.086875,9.5,-0.171407019091468
0.0941666666666667,9.5,-0.218199744679781
0.101458333333333,9.5,-0.279591648373308
0.10875,9.5,-0.357616991168573
0.116041666666667,9.5,-0.453208379903075
0.123333333333333,9.5,-0.574890401002656
0.130625,9.5,-0.71434965181149
0.137916666666667,9.5,-0.858522450292873
0.145208333333333,9.5,-0.96172238391844
0.1525,9.5,-1.00202053251626
0.159791666666667,9.5,-0.970065311042557
0.167083333333333,9.5,-0.877110204144112
0.174375,9.5,-0.774403983227287
0.181666666666667,9.5,-0.659476779850793
0.188958333333333,9.5,-0.543068446035866
0.19625,9.5,-0.456200712428813
0.203541666666667,9.5,-0.385294767785421
0.210833333333333,9.5,-0.321061925552407
0.218125,9.5,-0.279648390212583
0.225416666666667,9.5,-0.241840087392985
0.232708333333333,9.5,-0.212727371685632
0.24,9.5,-0.183141032352234
